,country,date,avg_max_temp,avg_min_temp,avg_temp,alpha-3,region
1386,Bulgaria,2023-07-11,29.4,15.7,22.7,BGR,Europe
1387,Austria,2023-03-06,7.2,1.7,4.0,AUT,Europe
1388,Spain,2023-07-11,40.0,25.2,32.3,ESP,Europe
1389,Latvia,2023-02-11,2.1,-0.5,0.8,LVA,Europe
1390,Belgium,2022-12-09,3.1,-1.4,0.2,BEL,Europe
1391,Portugal,2022-10-31,19.4,17.3,18.0,PRT,Europe
1392,Norway,2022-10-19,5.9,0.1,3.1,NOR,Europe
1393,Estonia,2023-06-30,24.8,15.4,20.4,EST,Europe
1394,Lithuania,2023-06-11,20.4,9.0,15.0,LTU,Europe
1395,Kosovo,2023-07-19,36.3,20.1,28.1,,
1396,Serbia,2023-05-08,17.3,11.2,13.8,SRB,Europe
1397,Monaco,2022-12-21,13.7,11.5,13.1,MCO,Europe
1398,Bosnia and Herzegovina,2022-12-18,2.0,0.3,1.1,BIH,Europe
1399,Bulgaria,2022-12-18,6.7,1.7,4.8,BGR,Europe
1400,Lithuania,2022-10-06,16.7,8.2,12.3,LTU,Europe
1401,Bosnia and Herzegovina,2023-01-07,12.2,1.8,5.5,BIH,Europe
1402,Spain,2022-11-28,13.2,6.1,9.1,ESP,Europe
1403,Serbia,2023-07-29,31.2,19.2,25.2,SRB,Europe
1404,Croatia,2023-04-29,22.6,9.3,15.5,HRV,Europe
1405,Poland,2023-01-21,1.8,-0.2,0.6,POL,Europe
1406,Luxembourg,2022-12-08,2.1,-1.4,0.3,LUX,Europe
1407,Lithuania,2023-02-10,2.0,-2.8,-0.9,LTU,Europe
1408,Ireland,2023-07-26,16.4,11.8,14.9,IRL,Europe
1409,Belarus,2023-04-15,9.2,4.3,5.8,BLR,Europe
1410,Romania,2022-12-30,10.3,1.9,5.3,ROU,Europe
1411,Andorra,2023-06-22,17.9,9.5,13.3,AND,Europe
1412,Monaco,2023-01-24,12.7,7.9,9.6,MCO,Europe
1413,Croatia,2022-12-26,13.0,5.7,9.3,HRV,Europe
1414,Germany,2023-05-01,18.8,4.2,11.7,DEU,Europe
1415,Finland,2022-10-15,12.1,10.0,10.8,FIN,Europe
1416,Bulgaria,2023-05-05,15.8,7.0,10.9,BGR,Europe
1417,Austria,2023-03-26,16.7,8.2,11.5,AUT,Europe
1418,Monaco,2022-09-23,20.2,17.2,19.1,MCO,Europe
1419,"Moldova, Republic of",2023-04-19,14.4,8.7,10.9,MDA,Europe
1420,Monaco,2023-05-12,17.3,14.4,15.5,MCO,Europe
1421,Lithuania,2023-03-23,13.1,5.5,9.0,LTU,Europe
1422,Germany,2023-06-29,25.5,13.8,20.6,DEU,Europe
1423,Norway,2023-08-28,17.3,9.7,12.6,NOR,Europe
1424,Greece,2023-06-08,27.9,17.6,22.8,GRC,Europe
1425,Slovenia,2023-04-06,9.6,-1.1,4.1,SVN,Europe
1426,Belarus,2023-03-11,3.8,-1.2,1.7,BLR,Europe
1427,Andorra,2022-11-08,11.9,3.4,5.9,AND,Europe
1428,Italy,2023-05-20,21.6,14.3,17.2,ITA,Europe
1429,Portugal,2022-09-30,22.4,15.7,18.3,PRT,Europe
1430,Ireland,2023-07-19,16.8,10.7,14.1,IRL,Europe
1431,Hungary,2022-12-22,5.9,1.2,3.4,HUN,Europe
1432,Estonia,2023-06-01,11.3,7.2,9.3,EST,Europe
1433,Slovakia,2023-06-19,29.3,14.5,21.9,SVK,Europe
1434,Andorra,2023-05-04,18.5,6.3,11.9,AND,Europe
1435,Kosovo,2023-01-24,3.1,0.8,2.3,,
1436,Montenegro,2023-07-20,36.4,26.0,30.8,MNE,Europe
1437,Germany,2023-06-05,25.1,11.3,19.2,DEU,Europe
1438,Romania,2022-11-11,12.3,7.9,10.6,ROU,Europe
